[4/15/23 07:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Onlyfans	
[4/15/23 07:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Onlyfans	
[4/15/23 07:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Onlyfans	
[4/15/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Onlyfans	
[4/15/23 07:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Onlyfans	
