[4/20/23 07:35PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Iron Uokm8	
[4/20/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Uokm8	
[4/20/23 07:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Uokm8	
[4/20/23 07:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Uokm8	
[4/20/23 07:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Uokm8	
[4/20/23 07:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Uokm8	
