[4/15/23 06:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zshana	
[4/15/23 06:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pleb	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pleb	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
[4/15/23 06:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pleb	
[4/15/23 06:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pleb	
