[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Darkvi	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Darkvi	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 200, owner: Darkvi	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Darkvi	
[4/19/23 12:38PM] Player picked up item: Coin, id: 995, amount: 300, owner: Rayquaza	
[4/19/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Rayquaza	
[4/19/23 12:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Rayquaza	
[4/19/23 12:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rayquaza	
[4/19/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Rayquaza	
[4/19/23 12:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rayquaza	
