[4/16/23 09:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Coin, id: 995, amount: 600, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
[4/16/23 09:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Unecesary	
[4/16/23 09:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Unecesary	
