[4/15/23 04:49AM] Player picked up item: Coin, id: 995, amount: 200, owner: Dids	
[4/15/23 04:59AM] Player picked up item: Collector ring, id: 4446, amount: 1, owner: Dids	
[4/15/23 04:59AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Dids	
[4/15/23 04:59AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Dids	
[4/15/23 05:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Dids	
[4/15/23 05:01AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Dids	
[4/16/23 05:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: Dids	
[4/16/23 05:32AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dids	
[4/16/23 05:34AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Dids	
[4/16/23 05:40AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Dids	
[4/16/23 05:40AM] Player picked up item: Coin, id: 995, amount: 400, owner: Dids	
[4/16/23 05:49AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Dids	
[4/16/23 05:53AM] Player picked up item: Coin, id: 995, amount: 5400, owner: Dids	
[4/16/23 05:54AM] Player picked up item: Coin, id: 995, amount: 1824045, owner: Dids	
[4/16/23 05:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dids	
