[4/16/23 02:24PM] Player picked up item: Coin, id: 995, amount: 4296797, owner: Bolachax	
[4/16/23 02:24PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bolachax	
[4/16/23 02:25PM] Player picked up item: Bronze pickaxe, id: 1265, amount: 1, owner: Dovixx	
[4/21/23 06:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 06:39AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 07:35AM] Player picked up item: Coin, id: 995, amount: 3718338, owner: Bolachax	
[4/21/23 07:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bolachax	
[4/21/23 08:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 08:30AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bolachax	
[4/21/23 08:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 08:32AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Bolachax	
[4/21/23 08:33AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bolachax	
[4/21/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 08:34AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 08:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 08:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 08:38AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 08:40AM] Player picked up item: Coin, id: 995, amount: 2469028, owner: Bolachax	
[4/21/23 08:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 08:41AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 08:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 08:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 09:34AM] Player picked up item: Coin, id: 995, amount: 2399268, owner: Bolachax	
[4/21/23 09:35AM] Player picked up item: Coin, id: 995, amount: 2949121, owner: Bolachax	
[4/21/23 09:57AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 09:57AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 11:04AM] Player picked up item: Coin, id: 995, amount: 2183352, owner: Bolachax	
[4/21/23 12:06PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 12:06PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 12:09PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 12:09PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bolachax	
[4/21/23 12:14PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bolachax	
[4/21/23 02:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bolachax	
[4/21/23 02:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bolachax	
