[4/20/23 04:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
[4/20/23 04:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2	
[4/20/23 04:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2	
