[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 2095345, owner: Bokzty	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bokzty	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bokzty	
[4/19/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bokzty	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 3122192, owner: Bokzty	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bokzty	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bokzty	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bokzty	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Zshana	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bokzty	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:39PM] Player picked up item: Coin, id: 995, amount: 800, owner: Bokzty	
[4/19/23 12:40PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Bokzty	
[4/19/23 12:41PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Bokzty	
[4/19/23 12:43PM] Player picked up item: Starter Ring, id: 23091, amount: 1, owner: Shrazdek	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 1646442, owner: Bokzty	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bokzty	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bokzty	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bokzty	
[4/19/23 12:49PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Bokzty	
[4/19/23 12:49PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:50PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Bokzty	
[4/19/23 12:50PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Bokzty	
[4/19/23 12:50PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:51PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:51PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:51PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Bokzty	
[4/19/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bokzty	
[4/19/23 12:52PM] Player picked up item: Coin, id: 995, amount: 700, owner: Bokzty	
[4/19/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bokzty	
[4/19/23 12:53PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Bokzty	
[4/19/23 12:54PM] Player picked up item: Coin, id: 995, amount: 800, owner: Bokzty	
[4/19/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bokzty	
[4/19/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 12:57PM] Player picked up item: Coin, id: 995, amount: 800, owner: Bokzty	
[4/19/23 12:59PM] Player picked up item: Coin, id: 995, amount: 900, owner: Bokzty	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 6300, owner: Bokzty	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Bokzty	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Bokzty	
[4/19/23 01:12PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Bokzty	
[4/19/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bokzty	
[4/19/23 01:13PM] Player picked up item: Imperial Whip, id: 18750, amount: 1, owner: Bokzty	
[4/19/23 01:13PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Bokzty	
[4/19/23 01:14PM] Player picked up item: Coin, id: 995, amount: 1274097, owner: Bokzty	
[4/19/23 01:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bokzty	
[4/19/23 01:16PM] Player picked up item: Coin, id: 995, amount: 3011431, owner: Bokzty	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bokzty	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bokzty	
[4/19/23 01:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bokzty	
[4/19/23 01:20PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bokzty	
[4/19/23 01:20PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bokzty	
[4/19/23 01:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bokzty	
[4/19/23 01:21PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bokzty	
[4/19/23 01:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bokzty	
