[4/18/23 01:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jokerjambo	
[4/18/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Jokerjambo	
[4/18/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Jokerjambo	
[4/18/23 01:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Jokerjambo	
[4/18/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jokerjambo	
[4/18/23 01:43PM] Player picked up item: Coin, id: 995, amount: 600, owner: Jokerjambo	
[4/18/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Jokerjambo	
[4/18/23 01:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Jokerjambo	
[4/18/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
[4/18/23 01:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Jokerjambo	
[4/18/23 01:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jokerjambo	
