[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 05:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bobross	
[4/20/23 05:55AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bobross	
[4/20/23 05:57AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Anubis	
[4/20/23 05:57AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Anubis	
[4/20/23 05:58AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bobross	
[4/20/23 05:58AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bobross	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bobross	
[4/20/23 06:00AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bobross	
[4/20/23 06:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Bobross	
