[4/17/23 05:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nadez	
[4/17/23 05:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 400, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
[4/17/23 05:14PM] Player picked up item: Coin, id: 995, amount: 300, owner: Mikeap	
