[4/17/23 08:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kyle	
[4/17/23 08:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Kyle	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Kyle	
[4/17/23 08:10AM] Player picked up item: Vial, id: 229, amount: 1, owner: Duke	
[4/17/23 08:11AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kyle	
[4/17/23 08:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kyle	
[4/17/23 08:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Kyle	
[4/17/23 08:27AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kyle	
[4/17/23 08:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Kyle	
[4/17/23 08:28AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Kyle	
[4/17/23 08:29AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Kyle	
