[4/23/23 08:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Elbow Beard	
[4/23/23 08:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Elbow Beard	
[4/23/23 08:05AM] Player picked up item: Coin, id: 995, amount: 1802233, owner: Elbow Beard	
[4/23/23 08:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Elbow Beard	
[4/23/23 08:10AM] Player picked up item: Coin, id: 995, amount: 800, owner: Elbow Beard	
[4/23/23 08:18AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Elbow Beard	
[4/23/23 08:19AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Elbow Beard	
[4/23/23 08:23AM] Player picked up item: Coin, id: 995, amount: 2100, owner: Elbow Beard	
[4/23/23 08:24AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Elbow Beard	
[4/23/23 08:29AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Elbow Beard	
[4/23/23 08:29AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Elbow Beard	
[4/23/23 08:31AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Elbow Beard	
[4/23/23 08:31AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Elbow Beard	
[4/23/23 08:31AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Elbow Beard	
