[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Im A Potato	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Im A Potato	
[4/18/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Im A Potato	
[4/18/23 12:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Im A Potato	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hc Pvm	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hc Pvm	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Im A Potato	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:30PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Hc Pvm	
[4/18/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hc Pvm	
[4/18/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Hc Pvm	
[4/18/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hc Pvm	
[4/18/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hc Pvm	
[4/18/23 12:32PM] Player picked up item: Coin, id: 995, amount: 600, owner: Hc Pvm	
[4/18/23 12:38PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Hc Pvm	
[4/18/23 12:38PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Hc Pvm	
[4/18/23 12:40PM] Player picked up item: Coin, id: 995, amount: 500, owner: Hc Pvm	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hc Pvm	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hc Pvm	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Hc Pvm	
[4/18/23 12:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hc Pvm	
[4/18/23 12:50PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Hc Pvm	
[4/18/23 12:52PM] Player picked up item: Coin, id: 995, amount: 2500, owner: Hc Pvm	
[4/18/23 12:52PM] Player picked up item: Coin, id: 995, amount: 2500, owner: Hc Pvm	
[4/18/23 12:53PM] Player picked up item: Coin, id: 995, amount: 3500, owner: Hc Pvm	
[4/18/23 12:53PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Hc Pvm	
[4/18/23 12:58PM] Player picked up item: Coin, id: 995, amount: 600, owner: Hc Pvm	
[4/18/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Hc Pvm	
[4/18/23 01:04PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Hc Pvm	
[4/18/23 01:10PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Hc Pvm	
[4/18/23 01:10PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Hc Pvm	
[4/18/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hc Pvm	
[4/18/23 01:11PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Hc Pvm	
[4/18/23 01:11PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Hc Pvm	
