[4/21/23 05:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
[4/21/23 05:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
[4/21/23 05:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: F2p Peep	
[4/21/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: F2p Peep	
[4/21/23 05:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
[4/21/23 05:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F2p Peep	
[4/21/23 05:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F2p Peep	
