[4/22/23 12:59PM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: Dio	
[4/22/23 01:00PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Dio	
[4/22/23 01:00PM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Dio	
[4/22/23 01:44PM] Player picked up item: Solar Staff, id: 22135, amount: 1, owner: Dio	
[4/23/23 01:29AM] Player picked up item: Solar Robe Top, id: 15646, amount: 1, owner: Dio	
[4/23/23 01:29AM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Dio	
[4/23/23 10:47AM] Player picked up item: Tarn token, id: 10835, amount: 225000, owner: Dio	
[4/23/23 11:03AM] Player picked up item: Tarn token, id: 10835, amount: 1039893, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Tarn token, id: 10835, amount: 5000000, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Zeidan Grimm Pet, id: 19487, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Aura (T6), id: 23049, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: White Wings, id: 22166, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Blood Helm, id: 8813, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Blood Body, id: 8814, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Blood Legs, id: 8815, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Blood Boots, id: 17283, amount: 1, owner: Dio	
[4/24/23 12:51PM] Player picked up item: Blood Gloves, id: 16194, amount: 1, owner: Dio	
[4/24/23 01:32PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Feed My Iron	
