[4/17/23 09:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mineftw1993	
[4/17/23 09:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Coin, id: 995, amount: 400, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
[4/17/23 09:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Coin, id: 995, amount: 400, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Coin, id: 995, amount: 400, owner: Mineftw1993	
[4/17/23 09:13PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mineftw1993	
