[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Irondoom	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Irondoom	
