[4/18/23 12:41PM] Player picked up item: Coin, id: 995, amount: 2260266, owner: Synthex	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/18/23 01:12PM] Player picked up item: Coin, id: 995, amount: 1493084, owner: Synthex	
[4/18/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/18/23 01:42PM] Player picked up item: Coin, id: 995, amount: 1762169, owner: Synthex	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 07:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Synthex	
[4/19/23 07:24AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Synthex	
[4/19/23 07:25AM] Player picked up item: Coin, id: 995, amount: 2028171, owner: Synthex	
[4/19/23 07:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 07:27AM] Player picked up item: Coin, id: 995, amount: 3477451, owner: Synthex	
[4/19/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Synthex	
[4/19/23 07:48AM] Player picked up item: Coin, id: 995, amount: 1926125, owner: Synthex	
[4/19/23 07:48AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 08:17AM] Player picked up item: Coin, id: 995, amount: 2269490, owner: Synthex	
[4/19/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 08:48AM] Player picked up item: Coin, id: 995, amount: 1576230, owner: Synthex	
[4/19/23 08:48AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 08:49AM] Player picked up item: Coin, id: 995, amount: 3446940, owner: Synthex	
[4/19/23 08:49AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Synthex	
[4/19/23 10:46AM] Player picked up item: Coin, id: 995, amount: 1362949, owner: Synthex	
[4/19/23 10:46AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 11:15AM] Player picked up item: Coin, id: 995, amount: 2380636, owner: Synthex	
[4/19/23 11:15AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Synthex	
[4/19/23 11:16AM] Player picked up item: Coin, id: 995, amount: 2165086, owner: Synthex	
[4/19/23 11:16AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Synthex	
[4/19/23 11:17AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Synthex	
[4/19/23 11:17AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Synthex	
[4/19/23 11:21AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Synthex	
[4/19/23 11:21AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Synthex	
[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Synthex	
[4/19/23 11:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Synthex	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 2075036, owner: Synthex	
