[4/16/23 04:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bag	
[4/16/23 04:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bag	
[4/16/23 04:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bag	
[4/16/23 04:38AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Bag	
[4/16/23 04:38AM] Player picked up item: Lava bones, id: 2023, amount: 16, owner: Bag	
[4/16/23 04:38AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Bag	
[4/16/23 04:38AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Bag	
[4/16/23 04:38AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bag	
[4/16/23 04:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bag	
[4/16/23 04:39AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Coin, id: 995, amount: 600, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Coin, id: 995, amount: 600, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Coin, id: 995, amount: 600, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Coin, id: 995, amount: 300, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Coin, id: 995, amount: 600, owner: Bag	
[4/16/23 04:42AM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Bag	
[4/16/23 04:47AM] Player picked up item: Coin, id: 995, amount: 2471753, owner: Bag	
[4/16/23 04:47AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bag	
[4/16/23 04:48AM] Player picked up item: Coin, id: 995, amount: 3773739, owner: Bag	
[4/16/23 04:48AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bag	
[4/16/23 05:01AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Bag	
[4/25/23 11:36PM] Player picked up item: Coin, id: 995, amount: 2481959, owner: Bag	
[4/25/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Bag	
[4/25/23 11:38PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Bag	
[4/25/23 11:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Bag	
[4/26/23 12:03AM] Player picked up item: Coin, id: 995, amount: 1008071, owner: Bag	
[4/26/23 12:03AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bag	
