[4/22/23 09:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Masterking1	
[4/22/23 09:36AM] Player picked up item: Coin, id: 995, amount: 300, owner: Masterking1	
[4/22/23 09:36AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Masterking1	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Masterking1	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Masterking1	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jmaster	
[4/22/23 09:42AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jmaster	
[4/22/23 10:07AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ganjaman	
[4/22/23 10:07AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ganjaman	
[4/22/23 10:07AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ganjaman	
[4/22/23 03:44PM] Player picked up item: Gold Enhancement, id: 17391, amount: 1, owner: Jmaster	
[4/22/23 06:31PM] Player picked up item: Black platebody (h4), id: 19490, amount: 1, owner: Jmaster	
[4/24/23 08:14PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Kandonas	
