[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eternal	
[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eternal	
[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eternal	
[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eternal	
[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Eternal	
[4/18/23 08:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Eternal	
[4/18/23 08:50PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Eternal	
[4/18/23 08:55PM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Eternal	
[4/18/23 08:55PM] Player picked up item: Blurite Bow, id: 22175, amount: 1, owner: Eternal	
[4/18/23 09:14PM] Player picked up item: Coin, id: 995, amount: 1287687, owner: Eternal	
[4/18/23 09:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Eternal	
[4/18/23 09:43PM] Player picked up item: Coin, id: 995, amount: 2397318, owner: Eternal	
[4/18/23 09:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Eternal	
[4/18/23 09:45PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Eternal	
[4/18/23 09:47PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Eternal	
[4/18/23 09:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Eternal	
[4/18/23 09:49PM] Player picked up item: Patience helm, id: 23034, amount: 1, owner: Eternal	
[4/18/23 09:51PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Eternal	
[4/18/23 09:58PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Eternal	
[4/18/23 10:02PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Eternal	
[4/19/23 04:57PM] Player picked up item: Aberrant minigun, id: 19135, amount: 1, owner: Eternal	
[4/19/23 05:01PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Eternal	
[4/19/23 05:02PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Eternal	
[4/19/23 05:02PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Eternal	
[4/19/23 05:04PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Eternal	
[4/19/23 05:05PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Eternal	
