[4/19/23 01:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Papaschmitt	
[4/19/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Papaschmitt	
[4/19/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Papaschmitt	
[4/19/23 01:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Papaschmitt	
