[4/17/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fritzz	
[4/17/23 11:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:49PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fritzz	
[4/17/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:51PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fritzz	
[4/17/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:56PM] Player picked up item: Coin, id: 995, amount: 900, owner: Fritzz	
[4/17/23 11:56PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fritzz	
[4/17/23 11:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Fritzz	
[4/17/23 11:57PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Fritzz	
[4/17/23 11:57PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Fritzz	
[4/18/23 12:00AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Fritzz	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/18/23 12:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fritzz	
[4/18/23 12:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fritzz	
[4/18/23 12:03AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Fritzz	
[4/18/23 12:03AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fritzz	
