[4/23/23 03:37AM] Player picked up item: Starter Amulet, id: 23089, amount: 1, owner: Opking	
[4/23/23 03:37AM] Player picked up item: Starter Blade, id: 22084, amount: 1, owner: Opking	
[4/23/23 03:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Opking	
[4/23/23 03:40AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Opking	
[4/23/23 03:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Opking	
[4/23/23 03:42AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Opking	
[4/23/23 03:45AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Opking	
[4/25/23 07:32AM] Player picked up item: Coin, id: 995, amount: 1463727, owner: Opking	
[4/25/23 07:32AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Opking	
[4/25/23 07:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Opking	
[4/25/23 07:34AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Opking	
[4/25/23 07:35AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Opking	
[4/25/23 07:35AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Opking	
[4/25/23 08:04AM] Player picked up item: Coin, id: 995, amount: 500, owner: Opking	
[4/25/23 08:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Opking	
