[4/15/23 03:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bluephaty	
[4/15/23 03:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Bluephaty	
[4/15/23 03:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Supernum	
[4/15/23 03:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Supernum	
[4/15/23 03:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum	
[4/15/23 03:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Supernum	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Coin, id: 995, amount: 400, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:52AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Supernum	
[4/15/23 03:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 03:55AM] Player picked up item: Coin, id: 995, amount: 400, owner: Supernum	
[4/15/23 03:55AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Supernum	
[4/15/23 04:01AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Supernum	
[4/15/23 04:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum	
[4/15/23 04:01AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Supernum	
[4/15/23 04:02AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Supernum	
[4/15/23 04:07AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Supernum	
[4/15/23 04:07AM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Supernum	
[4/15/23 04:08AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Supernum	
[4/15/23 04:10AM] Player picked up item: Coin, id: 995, amount: 800, owner: Supernum	
[4/15/23 01:52PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Supernum	
[4/15/23 01:52PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Supernum	
[4/15/23 01:54PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Supernum	
[4/15/23 02:02PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Supernum	
[4/15/23 02:04PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Supernum	
[4/15/23 02:04PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Supernum	
[4/15/23 02:04PM] Player picked up item: Lava bones, id: 2023, amount: 12, owner: Supernum	
[4/15/23 02:04PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Supernum	
