[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: The Kins	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: The Kins	
[4/17/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:12AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Coin, id: 995, amount: 200, owner: The Kins	
[4/17/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: The Kins	
