[4/17/23 02:12PM] Player picked up item: Coin, id: 995, amount: 100, owner: Black Widow	
[4/17/23 02:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Black Widow	
[4/17/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Coin, id: 995, amount: 400, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Coin, id: 995, amount: 400, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Black Widow	
[4/17/23 03:09PM] Player picked up item: Coin, id: 995, amount: 400, owner: Black Widow	
[4/17/23 03:33PM] Player picked up item: Coin, id: 995, amount: 1055626, owner: Black Widow	
[4/17/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Black Widow	
[4/17/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Black Widow	
[4/17/23 03:34PM] Player picked up item: Coin, id: 995, amount: 3736640, owner: Black Widow	
[4/17/23 03:51PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Black Widow	
[4/17/23 04:00PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Black Widow	
[4/17/23 04:03PM] Player picked up item: Coin, id: 995, amount: 1110907, owner: Black Widow	
[4/17/23 04:03PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Black Widow	
[4/17/23 05:07PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Black Widow	
