[4/22/23 06:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Masterking11	
[4/22/23 06:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Masterking11	
[4/22/23 06:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Masterking11	
[4/22/23 06:34PM] Player picked up item: Coin, id: 995, amount: 1457687, owner: Masterking11	
[4/22/23 06:35PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Masterking11	
[4/24/23 06:11AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Masterking11	
[4/24/23 06:11AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Masterking11	
[4/24/23 06:11AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Masterking11	
[4/24/23 06:12AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Masterking11	
[4/24/23 06:12AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Masterking11	
[4/24/23 06:12AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Masterking11	
[4/24/23 06:13AM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Masterking11	
[4/24/23 06:13AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Masterking11	
[4/24/23 06:13AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Masterking11	
[4/24/23 06:14AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Masterking11	
[4/24/23 06:14AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Masterking11	
[4/24/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Masterking11	
[4/24/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Masterking11	
[4/24/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Masterking11	
[4/24/23 06:16AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Masterking11	
