[4/19/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Theone	
[4/19/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Theone	
[4/19/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Theone	
[4/19/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Theone	
[4/19/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Theone	
[4/19/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Theone	
[4/19/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Theone	
[4/19/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Theone	
[4/19/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Theone	
[4/19/23 12:28AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Theone	
[4/19/23 12:43AM] Player picked up item: Coin, id: 995, amount: 2448094, owner: Theone	
[4/19/23 12:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Theone	
[4/19/23 12:51AM] Player picked up item: Coin, id: 995, amount: 3634295, owner: Theone	
[4/19/23 12:51AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Theone	
[4/19/23 02:23AM] Player picked up item: Tyrant Aura, id: 12608, amount: 1, owner: Theone	
[4/19/23 02:23AM] Player picked up item: Tyrant Aura, id: 12608, amount: 1, owner: Theone	
