[4/23/23 07:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: What It Is	
[4/23/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: What It Is	
[4/23/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: What It Is	
[4/23/23 07:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: What It Is	
[4/23/23 07:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: What It Is	
[4/23/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: What It Is	
[4/23/23 07:32AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: What It Is	
[4/23/23 07:35AM] Player picked up item: Coin, id: 995, amount: 1304246, owner: What It Is	
[4/23/23 07:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: What It Is	
[4/23/23 07:52AM] Player picked up item: Coin, id: 995, amount: 500, owner: What It Is	
[4/23/23 08:25AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: What It Is	
[4/23/23 08:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: What It Is	
[4/23/23 08:35AM] Player picked up item: Coin, id: 995, amount: 1238395, owner: What It Is	
[4/23/23 08:41AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: What It Is	
[4/23/23 08:52AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: What It Is	
[4/23/23 08:52AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: What It Is	
[4/23/23 09:05AM] Player picked up item: Coin, id: 995, amount: 2375522, owner: What It Is	
[4/23/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: What It Is	
[4/23/23 09:26AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: What It Is	
[4/23/23 09:29AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: What It Is	
[4/23/23 09:29AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: What It Is	
[4/23/23 11:21AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: What It Is	
[4/23/23 11:28AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: What It Is	
