[4/16/23 02:20PM] Player picked up item: Coin, id: 995, amount: 100, owner: Darkgreen	
[4/16/23 02:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Darkgreen	
[4/16/23 02:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Darkgreen	
[4/16/23 02:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Darkgreen	
[4/16/23 02:24PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Darkgreen	
[4/16/23 02:25PM] Player picked up item: Coin, id: 995, amount: 3004747, owner: Darkgreen	
[4/16/23 02:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Darkgreen	
[4/16/23 02:25PM] Player picked up item: Coin, id: 995, amount: 2158839, owner: Darkgreen	
[4/16/23 02:25PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Darkgreen	
[4/16/23 02:29PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Darkgreen	
[4/16/23 02:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Darkgreen	
[4/16/23 02:39PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Darkgreen	
[4/16/23 02:40PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Darkgreen	
[4/16/23 02:40PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Darkgreen	
[4/16/23 02:40PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Darkgreen	
[4/16/23 02:40PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Darkgreen	
[4/16/23 02:40PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Darkgreen	
[4/16/23 02:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Darkgreen	
[4/16/23 02:48PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:49PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Darkgreen	
[4/16/23 02:49PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:49PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:50PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:51PM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Darkgreen	
[4/16/23 02:51PM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Darkgreen	
[4/16/23 02:52PM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Darkgreen	
[4/16/23 02:54PM] Player picked up item: Coin, id: 995, amount: 1658034, owner: Darkgreen	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Darkgreen	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Mystic gloves, id: 23024, amount: 1, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Mystic staff, id: 23026, amount: 1, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Darkgreen	
[4/16/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Darkgreen	
