[4/17/23 10:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pijin	
[4/17/23 10:33AM] Player picked up item: Coin, id: 995, amount: 2273835, owner: Pijin	
[4/17/23 10:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pijin	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:35AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pijin	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pijin	
[4/17/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pijin	
[4/17/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pijin	
[4/17/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pijin	
[4/17/23 10:44AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Pijin	
[4/17/23 10:44AM] Player picked up item: Coin, id: 995, amount: 400, owner: Pijin	
[4/17/23 11:03AM] Player picked up item: Coin, id: 995, amount: 1897064, owner: Pijin	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pijin	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Pijin	
[4/17/23 11:03AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Pijin	
[4/17/23 11:05AM] Player picked up item: Coin, id: 995, amount: 3007275, owner: Pijin	
