[4/23/23 10:24AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Gim Peep	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gim Peep	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 1734598, owner: Gim Peep	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim Peep	
[4/23/23 10:36AM] Player picked up item: Coin, id: 995, amount: 400, owner: Gim Peep	
[4/23/23 10:38AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Gim Peep	
[4/23/23 10:40AM] Player picked up item: Imperial Whip, id: 18750, amount: 1, owner: Gim Peep	
[4/23/23 10:42AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Gim Peep	
[4/23/23 10:44AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Gim Peep	
[4/23/23 10:55AM] Player picked up item: Coin, id: 995, amount: 1767001, owner: Gim Peep	
[4/23/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gim Peep	
[4/23/23 10:58AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Gim Peep	
[4/23/23 11:03AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Gim Peep	
[4/23/23 11:03AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gim Peep	
[4/23/23 11:04AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:06AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:09AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Gim Peep	
[4/23/23 11:12AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:18AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:21AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:23AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Gim Peep	
[4/23/23 11:24AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Gim Peep	
[4/23/23 11:25AM] Player picked up item: Coin, id: 995, amount: 1508351, owner: Gim Peep	
[4/23/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gim Peep	
[4/23/23 11:26AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:26AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:27AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Gim Peep	
[4/23/23 11:27AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Gim Peep	
[4/23/23 11:27AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
[4/23/23 11:27AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Gim Peep	
