[4/20/23 11:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Froob	
[4/20/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Froob	
[4/20/23 11:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Froob	
[4/20/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Froob	
[4/20/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Froob	
[4/20/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Froob	
[4/20/23 11:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Froob	
[4/20/23 11:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:51PM] Player picked up item: Coin, id: 995, amount: 200, owner: Iron Froob	
[4/20/23 11:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Froob	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:55PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Froob	
[4/20/23 11:56PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Froob	
[4/20/23 11:56PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Iron Froob	
[4/20/23 11:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Froob	
[4/20/23 11:58PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Froob	
[4/20/23 11:58PM] Player picked up item: Coin, id: 995, amount: 400, owner: Iron Froob	
