[4/19/23 01:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/19/23 01:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/19/23 01:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/19/23 01:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/19/23 01:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/19/23 01:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/19/23 01:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 05:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ydisrespect	
[4/20/23 05:55AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ydisrespect	
[4/20/23 05:58AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ydisrespect	
[4/20/23 05:58AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ydisrespect	
[4/20/23 05:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 05:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 05:59AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 05:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ydisrespect	
[4/20/23 06:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ydisrespect	
