[4/20/23 08:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ron	
[4/20/23 08:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:57AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Ron	
[4/20/23 08:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ron	
[4/20/23 08:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 08:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 09:00AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
[4/20/23 09:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ron	
[4/20/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ron	
[4/20/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ron	
