[4/18/23 05:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 05:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 05:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 06:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 06:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 06:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 06:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 06:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 06:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Plasmagamer	
[4/18/23 06:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 06:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Plasmagamer	
[4/18/23 06:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
[4/18/23 06:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Plasmagamer	
[4/18/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Plasmagamer	
[4/18/23 06:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Plasmagamer	
