[4/21/23 04:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cuppy Cake	
[4/21/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cuppy Cake	
