[4/15/23 08:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Naruto99	
[4/15/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
[4/15/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:14AM] Player picked up item: Coin, id: 995, amount: 400, owner: Naruto99	
[4/15/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:15AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
[4/15/23 08:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Naruto99	
[4/15/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Naruto99	
