[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vest	
[4/20/23 01:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Starter Helm, id: 703, amount: 1, owner: Vest	
[4/20/23 01:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vest	
