[4/23/23 03:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jordy	
[4/23/23 03:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
[4/23/23 03:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jordy	
[4/23/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Jordy	
[4/23/23 03:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jordy	
[4/23/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jordy	
