[4/17/23 02:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vinescape	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vinescape	
[4/17/23 02:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Vinescape	
[4/17/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vinescape	
[4/17/23 02:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Vinescape	
[4/17/23 02:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Vinescape	
[4/17/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Vinescape	
[4/17/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vinescape	
[4/17/23 02:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Vinescape	
[4/17/23 02:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Vinescape	
[4/17/23 02:25PM] Player picked up item: Coin, id: 995, amount: 900, owner: Vinescape	
[4/17/23 02:25PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Vinescape	
[4/17/23 02:25PM] Player picked up item: Coin, id: 995, amount: 600, owner: Vinescape	
[4/17/23 02:25PM] Player picked up item: Blurite Katana, id: 14484, amount: 1, owner: Vinescape	
[4/17/23 02:55PM] Player picked up item: Coin, id: 995, amount: 400, owner: Vinescape	
[4/17/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vinescape	
[4/17/23 02:55PM] Player picked up item: Starter Cape, id: 19944, amount: 1, owner: Vinescape	
