[4/22/23 02:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: Acid	
[4/22/23 02:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Acid	
[4/22/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Acid	
[4/22/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Acid	
[4/22/23 02:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Acid	
[4/22/23 02:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Acid	
