[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Triangle	
[4/19/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Triangle	
[4/19/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Triangle	
