[4/15/23 06:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 06:56PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Frailty	
[4/15/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Frailty	
[4/15/23 07:00PM] Player picked up item: Coin, id: 995, amount: 2104719, owner: Frailty	
[4/15/23 07:00PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Frailty	
[4/15/23 07:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 07:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 07:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 07:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 07:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 07:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 07:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 07:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 07:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: Frailty	
[4/15/23 07:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/15/23 07:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 04:50AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Frailty	
[4/16/23 04:52AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Frailty	
[4/16/23 05:00AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Frailty	
[4/16/23 05:01AM] Player picked up item: Coin, id: 995, amount: 1674193, owner: Frailty	
[4/16/23 05:13AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Frailty	
[4/16/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 05:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 05:14AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Frailty	
[4/16/23 05:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 05:14AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Frailty	
[4/16/23 05:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 05:15AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Frailty	
[4/16/23 05:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Frailty	
[4/16/23 05:16AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Frailty	
[4/16/23 05:16AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Frailty	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 2220054, owner: Frailty	
[4/16/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Frailty	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 2161859, owner: Frailty	
[4/16/23 05:27AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Frailty	
[4/16/23 05:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Frailty	
[4/16/23 05:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Frailty	
[4/16/23 05:30AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Frailty	
[4/16/23 05:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Frailty	
