[4/22/23 03:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Bigsmasher	
[4/22/23 03:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Bigsmasher	
[4/22/23 03:34PM] Player picked up item: Coin, id: 995, amount: 1331043, owner: Bigsmasher	
[4/22/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bigsmasher	
[4/22/23 03:57PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bigsmasher	
[4/22/23 03:58PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Bigsmasher	
[4/22/23 03:59PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Bigsmasher	
[4/22/23 03:59PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Bigsmasher	
[4/22/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Bigsmasher	
[4/22/23 03:59PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bigsmasher	
[4/22/23 04:00PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Bigsmasher	
[4/22/23 04:01PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:04PM] Player picked up item: Coin, id: 995, amount: 1864236, owner: Bigsmasher	
[4/22/23 04:04PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Bigsmasher	
[4/22/23 04:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:06PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Bigsmasher	
[4/22/23 04:07PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Bigsmasher	
[4/22/23 04:07PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:07PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Bigsmasher	
[4/22/23 04:08PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Bigsmasher	
[4/22/23 04:09PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bigsmasher	
[4/22/23 04:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bigsmasher	
[4/22/23 04:09PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bigsmasher	
[4/22/23 04:09PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Bigsmasher	
[4/22/23 04:13PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:13PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:14PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Bigsmasher	
[4/22/23 04:14PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:14PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:14PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Bigsmasher	
[4/22/23 04:16PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bigsmasher	
[4/22/23 04:16PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Bigsmasher	
[4/22/23 04:16PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Bigsmasher	
[4/22/23 04:17PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Bigsmasher	
[4/22/23 04:19PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:21PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:21PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bigsmasher	
[4/22/23 04:23PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bigsmasher	
[4/22/23 04:23PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Bigsmasher	
[4/22/23 04:24PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Bigsmasher	
[4/22/23 04:24PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Bigsmasher	
[4/22/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 9, owner: Bigsmasher	
[4/22/23 04:24PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Bigsmasher	
[4/22/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bigsmasher	
[4/22/23 04:25PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Bigsmasher	
[4/22/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bigsmasher	
