[4/20/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nub	
[4/20/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nub	
[4/20/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
[4/20/23 09:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nub	
[4/20/23 09:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nub	
