[4/23/23 10:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:12AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Shana	
[4/23/23 10:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Coin, id: 995, amount: 600, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Shana	
[4/23/23 10:13AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Shana	
[4/23/23 10:15AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Iron Shana	
[4/23/23 10:15AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Iron Shana	
[4/23/23 10:16AM] Player picked up item: Coin, id: 995, amount: 500, owner: Iron Shana	
[4/23/23 10:18AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Shana	
[4/23/23 10:19AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:19AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Shana	
[4/23/23 10:20AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Shana	
[4/23/23 10:20AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:20AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Shana	
[4/23/23 10:21AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Iron Shana	
[4/23/23 10:25AM] Player picked up item: Coin, id: 995, amount: 2334587, owner: Iron Shana	
[4/23/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Shana	
[4/23/23 10:26AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Iron Shana	
[4/23/23 10:27AM] Player picked up item: Coin, id: 995, amount: 2800, owner: Iron Shana	
[4/23/23 10:33AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:38AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Iron Shana	
[4/23/23 10:38AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Iron Shana	
[4/23/23 10:41AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Iron Shana	
[4/23/23 10:42AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Shana	
[4/23/23 10:47AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Shana	
[4/23/23 10:49AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Iron Shana	
[4/23/23 10:51AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Shana	
[4/23/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Shana	
[4/23/23 10:51AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:51AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Shana	
[4/23/23 10:52AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Shana	
[4/23/23 10:53AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Shana	
[4/23/23 10:53AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Shana	
[4/23/23 10:55AM] Player picked up item: Coin, id: 995, amount: 1251641, owner: Iron Shana	
[4/23/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Shana	
[4/23/23 10:55AM] Player picked up item: Coin, id: 995, amount: 2719365, owner: Iron Shana	
[4/23/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Iron Shana	
[4/23/23 11:02AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Iron Shana	
