[4/23/23 12:32PM] Player picked up item: Coin, id: 995, amount: 2472431, owner: Beeffe	
[4/23/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Beeffe	
[4/23/23 12:33PM] Player picked up item: Coin, id: 995, amount: 2931994, owner: Beeffe	
[4/23/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Beeffe	
[4/23/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Beeffe	
[4/23/23 12:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Beeffe	
[4/23/23 12:41PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Beeffe	
[4/23/23 12:44PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Beeffe	
[4/23/23 12:56PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Beeffe	
[4/23/23 12:58PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Beeffe	
[4/23/23 12:58PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Beeffe	
[4/23/23 01:00PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Beeffe	
[4/23/23 01:02PM] Player picked up item: Coin, id: 995, amount: 2052858, owner: Beeffe	
[4/23/23 01:02PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Beeffe	
[4/23/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2048233, owner: Beeffe	
[4/23/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Beeffe	
[4/23/23 01:33PM] Player picked up item: Coin, id: 995, amount: 4383654, owner: Beeffe	
[4/23/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Beeffe	
[4/23/23 01:38PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Beeffe	
[4/23/23 01:38PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Beeffe	
