[4/15/23 09:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 09:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 09:59AM] Player picked up item: Coin, id: 995, amount: 2382571, owner: Vibes	
[4/15/23 09:59AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Vibes	
[4/15/23 10:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 10:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 10:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 10:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Vibes	
[4/15/23 10:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Vibes	
[4/15/23 10:05AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Vibes	
[4/15/23 10:08AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Vibes	
[4/15/23 10:09AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Vibes	
[4/15/23 10:15AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Vibes	
[4/15/23 10:18AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Vibes	
