[4/20/23 09:51AM] Player picked up item: Coin, id: 995, amount: 2016898, owner: Xio	
[4/20/23 09:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Xio	
[4/20/23 09:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 09:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Xio	
[4/20/23 10:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Xio	
[4/20/23 10:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
[4/20/23 10:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Xio	
[4/20/23 10:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xio	
