[4/17/23 11:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Payne	
[4/17/23 11:18PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Payne	
[4/17/23 11:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Payne	
[4/17/23 11:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Payne	
[4/17/23 11:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Payne	
[4/17/23 11:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Payne	
[4/17/23 11:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Payne	
[4/17/23 11:28PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Payne	
[4/17/23 11:28PM] Player picked up item: Coin, id: 995, amount: 500, owner: Payne	
[4/18/23 12:37AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Payne	
[4/18/23 12:38AM] Player picked up item: Coin, id: 995, amount: 600, owner: Payne	
[4/18/23 12:42AM] Player picked up item: Coin, id: 995, amount: 2554399, owner: Payne	
[4/18/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Payne	
[4/18/23 12:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Payne	
[4/18/23 12:43AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Payne	
[4/18/23 12:45AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Payne	
[4/18/23 12:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Payne	
[4/18/23 01:12AM] Player picked up item: Coin, id: 995, amount: 2430850, owner: Payne	
[4/18/23 02:41AM] Player picked up item: Coin, id: 995, amount: 2079266, owner: Payne	
[4/18/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Payne	
[4/18/23 02:42AM] Player picked up item: Coin, id: 995, amount: 4137876, owner: Payne	
[4/18/23 02:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Payne	
[4/18/23 02:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Payne	
[4/18/23 02:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Payne	
[4/18/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Payne	
[4/18/23 02:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Payne	
[4/18/23 02:48AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Payne	
