[4/17/23 11:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mr Pokley	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mr Pokley	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mr Pokley	
[4/17/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mr Pokley	
[4/17/23 11:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: 2147m	
[4/17/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 11:53AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2147m	
[4/17/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2147m	
[4/17/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2147m	
[4/17/23 11:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2147m	
[4/17/23 11:55AM] Player picked up item: Coin, id: 995, amount: 1217377, owner: 2147m	
[4/17/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 11:56AM] Player picked up item: Coin, id: 995, amount: 1990871, owner: 2147m	
[4/17/23 11:56AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 11:56AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 11:57AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 11:57AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 12:03PM] Player picked up item: Coin, id: 995, amount: 1815825, owner: 2147m	
[4/17/23 12:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 12:08PM] Player picked up item: Coin, id: 995, amount: 2170398, owner: 2147m	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 2134445, owner: 2147m	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2147m	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2147m	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2147m	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2147m	
[4/17/23 12:11PM] Player picked up item: Coin, id: 995, amount: 2884852, owner: 2147m	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2147m	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 2826941, owner: 2147m	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2147m	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 4107583, owner: 2147m	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2147m	
[4/17/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2147m	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: 2147m	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2147m	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2147m	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2147m	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 1020971, owner: 2147m	
[4/17/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2147m	
[4/17/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2147m	
[4/17/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 2147m	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 2147m	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 12:19PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: Coin, id: 995, amount: 1510512, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: Coin, id: 995, amount: 3356223, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 2147m	
[4/17/23 12:33PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2147m	
[4/17/23 12:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 2147m	
[4/17/23 12:40PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 2147m	
[4/17/23 02:33PM] Player picked up item: Coin, id: 995, amount: 1262029, owner: 2147m	
[4/17/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: 2147m	
[4/17/23 02:34PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: 2147m	
[4/17/23 02:34PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 2147m	
[4/17/23 02:37PM] Player picked up item: Emerald Coif, id: 11001, amount: 1, owner: Jroc	
[4/17/23 02:46PM] Player picked up item: Coin, id: 995, amount: 10000, owner: 2147m	
[4/17/23 02:46PM] Player picked up item: Coin, id: 995, amount: 2000, owner: 2147m	
[4/17/23 02:46PM] Player picked up item: Coin, id: 995, amount: 8000, owner: 2147m	
[4/17/23 02:46PM] Player picked up item: Coin, id: 995, amount: 10000, owner: 2147m	
[4/17/23 02:46PM] Player picked up item: Coin, id: 995, amount: 8000, owner: 2147m	
[4/17/23 03:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 03:20PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: 2147m	
[4/17/23 03:20PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: 2147m	
[4/17/23 03:21PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: 2147m	
[4/17/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 2147m	
[4/17/23 03:26PM] Player picked up item: Coin, id: 995, amount: 4000, owner: 2147m	
[4/17/23 03:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 2147m	
[4/17/23 03:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 2147m	
[4/17/23 03:28PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: 2147m	
[4/17/23 03:30PM] Player picked up item: Coin, id: 995, amount: 2000, owner: 2147m	
[4/17/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 2147m	
[4/17/23 03:30PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: 2147m	
[4/17/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 2147m	
[4/17/23 03:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 2147m	
[4/17/23 03:33PM] Player picked up item: Coin, id: 995, amount: 2455238, owner: 2147m	
[4/17/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/17/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 2147m	
[4/18/23 10:15AM] Player picked up item: Blood Vitur, id: 8136, amount: 1, owner: 2147m	
[4/22/23 09:03AM] Player picked up item: Coin, id: 995, amount: 2041714, owner: 2147m	
[4/22/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 2147m	
[4/23/23 11:20AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: 2147m	
[4/23/23 11:20AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: 2147m	
[4/23/23 11:20AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: 2147m	
[4/23/23 11:20AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: 2147m	
[4/23/23 11:20AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: 2147m	
[4/23/23 11:50AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Bulba	
