[4/18/23 12:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Im A Potato	
[4/18/23 12:30PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Im A Potato	
[4/18/23 12:30PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Im A Potato	
[4/18/23 12:40PM] Player picked up item: Coin, id: 995, amount: 400, owner: Im A Potato	
[4/18/23 12:42PM] Player picked up item: Coin, id: 995, amount: 3812812, owner: Im A Potato	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Im A Potato	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Im A Potato	
[4/18/23 12:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Im A Potato	
[4/18/23 12:58PM] Player picked up item: Coin, id: 995, amount: 13000, owner: Im A Potato	
[4/18/23 12:58PM] Player picked up item: Coin, id: 995, amount: 13000, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Coin, id: 995, amount: 117000, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Coin, id: 995, amount: 13000, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Coin, id: 995, amount: 13000, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Im A Potato	
[4/18/23 12:59PM] Player picked up item: Coin, id: 995, amount: 13000, owner: Im A Potato	
[4/18/23 01:06PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Im A Potato	
[4/18/23 01:06PM] Player picked up item: Coin, id: 995, amount: 700, owner: Im A Potato	
[4/18/23 01:11PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Im A Potato	
[4/18/23 01:11PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Im A Potato	
[4/18/23 01:12PM] Player picked up item: Coin, id: 995, amount: 2070227, owner: Im A Potato	
[4/18/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Im A Potato	
[4/18/23 01:13PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Im A Potato	
[4/18/23 01:17PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Im A Potato	
[4/18/23 01:17PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Im A Potato	
[4/18/23 01:17PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Im A Potato	
[4/18/23 01:21PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Im A Potato	
[4/18/23 01:25PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Im A Potato	
[4/18/23 01:28PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Im A Potato	
[4/18/23 01:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Im A Potato	
[4/18/23 01:30PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Im A Potato	
[4/18/23 01:34PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Im A Potato	
[4/18/23 01:38PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Im A Potato	
[4/18/23 01:41PM] Player picked up item: Coin, id: 995, amount: 2181246, owner: Im A Potato	
[4/18/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Im A Potato	
[4/18/23 01:41PM] Player picked up item: Coin, id: 995, amount: 3943635, owner: Im A Potato	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Im A Potato	
[4/18/23 01:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Im A Potato	
[4/18/23 01:44PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Im A Potato	
[4/18/23 01:48PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Im A Potato	
[4/18/23 01:49PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Im A Potato	
[4/18/23 01:56PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Im A Potato	
[4/18/23 01:58PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Im A Potato	
[4/18/23 02:01PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Im A Potato	
[4/18/23 02:01PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Im A Potato	
[4/18/23 03:47PM] Player picked up item: Lust Staff, id: 8809, amount: 1, owner: Like My Peep	
[4/18/23 03:48PM] Player picked up item: Gold Boots, id: 11182, amount: 1, owner: Like My Peep	
[4/18/23 03:49PM] Player picked up item: Inferno Boots, id: 13305, amount: 1, owner: Im A Potato	
[4/19/23 01:13AM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Supernum	
[4/19/23 08:31AM] Player picked up item: Solar Staff, id: 22135, amount: 1, owner: Im A Potato	
[4/19/23 11:53AM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Im A Potato	
[4/19/23 01:41PM] Player picked up item: Drop rate scroll, id: 23178, amount: 1, owner: Im A Potato	
[4/20/23 02:19AM] Player picked up item: Solar Staff, id: 22135, amount: 1, owner: Im A Potato	
[4/20/23 06:24AM] Player picked up item: Double DR Scroll 30 Minutes, id: 15358, amount: 1, owner: Im A Potato	
[4/20/23 06:24AM] Player picked up item: Double DR Scroll 30 Minutes, id: 15358, amount: 1, owner: Im A Potato	
[4/20/23 09:38AM] Player picked up item: Tarn token, id: 10835, amount: 22880866, owner: Im A Potato	
[4/21/23 11:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Jix	
[4/22/23 07:05AM] Player picked up item: Doom Aura, id: 12614, amount: 1, owner: Im A Potato	
[4/22/23 07:20AM] Player picked up item: Godly Helm, id: 14050, amount: 1, owner: Im A Potato	
[4/26/23 10:28AM] Player picked up item: Crystal, id: 2381, amount: 1, owner: Im A Potato	
[4/26/23 10:28AM] Player picked up item: Crystal, id: 2381, amount: 1, owner: Im A Potato	
[4/26/23 10:28AM] Player picked up item: Crystal, id: 2381, amount: 1, owner: Im A Potato	
