[4/16/23 01:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Bryce	
[4/16/23 01:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mango3125	
[4/16/23 01:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:12PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:12PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Coin, id: 995, amount: 400, owner: Mango3125	
[4/16/23 01:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mango3125	
