[4/20/23 08:37PM] Player picked up item: Coin, id: 995, amount: 4040869, owner: Ascaris Fe	
[4/20/23 08:37PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Ascaris Fe	
[4/20/23 08:39PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Ascaris Fe	
[4/20/23 08:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Ascaris Fe	
[4/20/23 08:45PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Ascaris Fe	
[4/20/23 08:45PM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Ascaris Fe	
[4/20/23 08:45PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Ascaris Fe	
[4/20/23 09:05PM] Player picked up item: Coin, id: 995, amount: 2489546, owner: Ascaris Fe	
[4/20/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ascaris Fe	
[4/20/23 09:34PM] Player picked up item: Coin, id: 995, amount: 1633418, owner: Ascaris Fe	
[4/20/23 09:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ascaris Fe	
[4/20/23 09:47PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ascaris Fe	
[4/20/23 09:47PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ascaris Fe	
[4/20/23 09:48PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ascaris Fe	
[4/20/23 09:48PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ascaris Fe	
[4/20/23 10:34PM] Player picked up item: Coin, id: 995, amount: 1881326, owner: Ascaris Fe	
[4/20/23 10:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ascaris Fe	
[4/20/23 10:36PM] Player picked up item: Coin, id: 995, amount: 2406344, owner: Ascaris Fe	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Ascaris Fe	
[4/20/23 10:37PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Ascaris Fe	
[4/20/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Ascaris Fe	
