[4/16/23 02:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Razvy	
[4/16/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
[4/16/23 02:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Razvy	
[4/16/23 02:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Razvy	
