[4/20/23 03:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
[4/20/23 03:29PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
[4/20/23 03:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nea	
[4/20/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nea	
