[4/18/23 09:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: F3ez	
[4/18/23 09:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:31PM] Player picked up item: Coin, id: 995, amount: 200, owner: F3ez	
[4/18/23 09:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:31PM] Player picked up item: Coin, id: 995, amount: 200, owner: F3ez	
[4/18/23 09:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: F3ez	
[4/18/23 09:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: F3ez	
[4/18/23 09:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: F3ez	
[4/18/23 09:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: F3ez	
