[4/21/23 10:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 10:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buffy	
[4/21/23 10:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 10:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Buffy	
[4/21/23 10:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 10:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buffy	
[4/21/23 11:48PM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Buffy	
[4/21/23 11:48PM] Player picked up item: Starter Blade, id: 22084, amount: 1, owner: Buffy	
[4/22/23 12:49AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Buffy	
