[4/20/23 06:16AM] Player picked up item: Lava bones, id: 2023, amount: 8, owner: Lndy1991	
[4/20/23 06:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:17AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Lndy1991	
[4/20/23 06:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:21AM] Player picked up item: Coin, id: 995, amount: 1405637, owner: Lndy1991	
[4/20/23 06:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lndy1991	
[4/20/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Lndy1991	
[4/20/23 06:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Lndy1991	
[4/20/23 06:30AM] Player picked up item: Coin, id: 995, amount: 2985834, owner: Lndy1991	
[4/20/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Lndy1991	
[4/20/23 06:32AM] Player picked up item: Coin, id: 995, amount: 400, owner: Lndy1991	
[4/20/23 06:32AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Lndy1991	
[4/20/23 06:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Lndy1991	
[4/20/23 06:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Lndy1991	
[4/20/23 06:34AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Lndy1991	
[4/20/23 06:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Lndy1991	
[4/20/23 06:36AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Lndy1991	
[4/20/23 06:40AM] Player picked up item: Coin, id: 995, amount: 3200, owner: Lndy1991	
[4/20/23 06:41AM] Player picked up item: Coin, id: 995, amount: 3600, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Coin, id: 995, amount: 600, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Coin, id: 995, amount: 600, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Coin, id: 995, amount: 600, owner: Lndy1991	
[4/20/23 06:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 06:52AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lndy1991	
[4/20/23 07:11AM] Player picked up item: Coin, id: 995, amount: 2800, owner: Lndy1991	
[4/20/23 07:14AM] Player picked up item: Coin, id: 995, amount: 700, owner: Lndy1991	
[4/20/23 07:15AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Lndy1991	
[4/20/23 07:17AM] Player picked up item: Coin, id: 995, amount: 2400, owner: Lndy1991	
[4/20/23 07:17AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Lndy1991	
[4/20/23 07:21AM] Player picked up item: Coin, id: 995, amount: 1448848, owner: Lndy1991	
[4/20/23 07:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lndy1991	
[4/20/23 07:22AM] Player picked up item: Coin, id: 995, amount: 3017488, owner: Lndy1991	
[4/20/23 07:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Lndy1991	
[4/20/23 07:24AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Lndy1991	
[4/20/23 07:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Lndy1991	
[4/20/23 07:29AM] Player picked up item: Coin, id: 995, amount: 900, owner: Lndy1991	
[4/20/23 07:30AM] Player picked up item: Coin, id: 995, amount: 900, owner: Lndy1991	
[4/20/23 07:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lndy1991	
[4/20/23 07:33AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Lndy1991	
[4/20/23 07:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Lndy1991	
[4/20/23 07:35AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Lndy1991	
[4/20/23 07:46AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Lndy1991	
[4/20/23 07:51AM] Player picked up item: Coin, id: 995, amount: 1753418, owner: Lndy1991	
[4/20/23 07:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lndy1991	
[4/20/23 07:56AM] Player picked up item: Mystic body, id: 23022, amount: 1, owner: Lndy1991	
[4/20/23 07:56AM] Player picked up item: Mystic body, id: 23022, amount: 1, owner: Lndy1991	
[4/20/23 09:41AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Lndy1991	
[4/20/23 09:51AM] Player picked up item: Coin, id: 995, amount: 1504630, owner: Lndy1991	
[4/20/23 09:51AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Lndy1991	
[4/20/23 09:56AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Lndy1991	
