[4/22/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pruh	
[4/22/23 11:02PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pruh	
[4/22/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pruh	
[4/22/23 11:02PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pruh	
[4/22/23 11:04PM] Player picked up item: Coin, id: 995, amount: 1576869, owner: Pruh	
[4/22/23 11:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pruh	
[4/22/23 11:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pruh	
[4/22/23 11:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pruh	
[4/22/23 11:04PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pruh	
[4/22/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pruh	
[4/22/23 11:08PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pruh	
[4/22/23 11:08PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pruh	
[4/22/23 11:09PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pruh	
[4/22/23 11:09PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pruh	
[4/22/23 11:21PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pruh	
[4/22/23 11:22PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Pruh	
[4/22/23 11:22PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Pruh	
[4/22/23 11:23PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Pruh	
[4/22/23 11:23PM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Pruh	
[4/22/23 11:33PM] Player picked up item: Coin, id: 995, amount: 1119060, owner: Pruh	
[4/22/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Pruh	
[4/22/23 11:34PM] Player picked up item: Coin, id: 995, amount: 3797459, owner: Pruh	
[4/22/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Pruh	
[4/22/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Pruh	
[4/22/23 11:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pruh	
[4/22/23 11:48PM] Player picked up item: Coin, id: 995, amount: 174000, owner: Pruh	
[4/22/23 11:51PM] Player picked up item: Coin, id: 995, amount: 174000, owner: Pruh	
[4/22/23 11:52PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Exholy	
[4/22/23 11:55PM] Player picked up item: Coin, id: 995, amount: 115000, owner: Pruh	
[4/23/23 12:04AM] Player picked up item: Coin, id: 995, amount: 2166907, owner: Pruh	
[4/23/23 12:04AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pruh	
[4/23/23 12:24AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Pruh	
[4/23/23 12:24AM] Player picked up item: PvM Casket, id: 2736, amount: 5, owner: Pruh	
[4/23/23 12:24AM] Player picked up item: Antique lamp, id: 11137, amount: 3, owner: Pruh	
[4/23/23 12:24AM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Pruh	
[4/23/23 12:25AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Pruh	
[4/23/23 12:25AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Pruh	
[4/23/23 12:25AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Pruh	
